LevelName	TileName	Style	StartSequence	EndSequence	Type1	Cel1	Type2	Cel2	Type2	Cel3	Type4	Cel4
1 Town	fl	0	1	46	Floor Path A	0	Floor Path B	1	Floor Path C	2	Floor Path D	3
1 Town	fl	2	0	3	Floor Path A	0	Floor Path B	1	Floor Path C	2	Floor Path D	3
1 Town	fl	2	4	7	River T A	4		-1		-1		-1
1 Town	fl	2	8	11	River M A	6	River M B	7	River M C	8		-1
1 Town	fl	2	12	15	Floor Path A	0	Floor Path B	1	Floor Path C	2	Floor Path D	3
1 Town	fl	2	16	19	River T A	4		-1		-1		-1
1 Town	fl	2	20	24	River M A	6	River M B	7	River M C	8		-1
1 Town	fl	3	0	3	Floor Path A	0	Floor Path B	1	Floor Path C	2	Floor Path D	3
1 Town	fl	3	4	7	River B A	5		-1		-1		-1
1 Town	fl	3	8	11	Floor Path A	0	Floor Path B	1	Floor Path C	2	Floor Path D	3
1 Town	fl	3	12	15	River B A	5		-1		-1		-1
1 Town	wr	0	0	18	F_WR	60	F_WR B	70		-1		-1
1 Town	wl	0	0	18	F_WL	61	F_WL B	71		-1		-1
1 Town	wtlr	0	15	15	F_WTLL	64		-1		-1		-1
1 Town	wtlr	0	0	1	F_WTLL	64		-1		-1		-1
1 Town	wtll	0	15	15	F_WR	60		-1		-1		-1
1 Town	wtll	0	0	1	F_WTLL	64		-1		-1		-1
1 Town	wbr	0	0	2	F_WBR	65		-1		-1		-1
1 Town	wbr	0	5	-1	F_WBR	65		-1		-1		-1
1 Town	wtr	0	-1	-1	F_WBL	62		-1		-1		-1
1 Town	wbl	0	-1	-1	F_WTR	63		-1		-1		-1
1 Town	wr	2	0	3	Stn_WR a	11	Stn_WR b	12		-1		-1
1 Town	wr	2	4	4	Stn_L R E	18		-1		-1		-1
1 Town	wl	2	0	3	Stn_WL a	13	Stn_WL b	14		-1		-1
1 Town	wl	2	4	4	Stn_L L E	17		-1		-1		-1
1 Town	wtr	2	0	4	Stn_WL a	13	Stn_WL b	14		-1		-1
1 Town	wtlr	2	0	4	Stn_X	16		-1		-1		-1
1 Town	wtll	2	0	4	Stn_X	16		-1		-1		-1
1 Town	wbl	2	0	4	Stn_WR a	11	Stn_WR b	12		-1		-1
1 Town	fl	4	0	3	Bridge M	79		-1		-1		-1
1 Town	fl	4	4	4	Bridge T A	76		-1		-1		-1
1 Town	fl	4	5	6	Bridge M	79		-1		-1		-1
1 Town	fl	4	7	7	Bridge B A	73		-1		-1		-1
1 Town	fl	4	8	8	Bridge T B	77		-1		-1		-1
1 Town	fl	4	9	10	Bridge M	79		-1		-1		-1
1 Town	fl	4	11	11	Bridge B B	74		-1		-1		-1
1 Town	fl	4	12	12	Bridge T B	77		-1		-1		-1
1 Town	fl	4	13	14	Bridge M	79		-1		-1		-1
1 Town	fl	4	15	15	Bridge B B	74		-1		-1		-1
1 Town	fl	4	16	16	Bridge T B	77		-1		-1		-1
1 Town	fl	4	17	18	Bridge M	79		-1		-1		-1
1 Town	fl	4	19	19	Bridge B B	74		-1		-1		-1
1 Town	fl	4	20	21	Bridge M	79		-1		-1		-1
1 Town	fl	4	22	22	Bridge B B	74		-1		-1		-1
1 Town	fl	4	23	26	Bridge M	79		-1		-1		-1
1 Town	fl	4	27	27	Bridge T C	78		-1		-1		-1
1 Town	fl	4	28	29	Bridge M	79		-1		-1		-1
1 Town	fl	4	30	30	Bridge B C	75		-1		-1		-1
1 Town	fl	4	31	31	Bridge T B	77		-1		-1		-1
1 Town	fl	4	32	33	Bridge M	79		-1		-1		-1
1 Town	fl	4	34	34	Bridge B B	74		-1		-1		-1
1 Town	fl	4	35	35	Bridge T B	77		-1		-1		-1
1 Town	fl	4	36	37	Bridge M	79		-1		-1		-1
1 Town	fl	4	38	38	Bridge B B	74		-1		-1		-1
1 Town	fl	4	39	39	Bridge T B	77		-1		-1		-1
1 Town	co	7	10	10	akara_c10	400		-1		-1		-1
1 Town	co	7	11	11	akara_c11	401		-1		-1		-1
1 Town	co	7	12	12	akara_c12	402		-1		-1		-1
1 Town	co	7	13	13	cmlwgn_c13	403		-1		-1		-1
1 Town	co	7	14	14	cmlwgn_c14	404		-1		-1		-1
1 Town	fl	8	8	8	firepit_fl88	405		-1		-1		-1
1 Town	co	6	5	5	wgnw_c65	406		-1		-1		-1
1 Town	wtll	0	3	3	XXwgnt_wl040	407		-1		-1		-1
1 Town	wl	0	38	38	wgnt_wl038	408		-1		-1		-1
1 Town	wr	0	42	42	wgnt_wr031	409		-1		-1		-1
