name	armor	helm	shield	sword	axe	mace	spear	scepter	wand	staff	bow	boots	gloves	belt	ring	amulet	add	multiply	divide
bite	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scratch	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
scalpel	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fang	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
gutter	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
thirst	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
razor	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scythe	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
edge	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
saw	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
splitter	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cleaver	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sever	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sunder	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rend	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mangler	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
slayer	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
reaver	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spawn	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gnash	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
star	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
blow	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
smasher	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
Bane	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
crusher	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
breaker	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
grinder	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
crack	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
mallet	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
knell	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
lance	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
spike	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
impaler	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
skewer	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
prod	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
scourge	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
wand	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wrack	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
barb	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
needle	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
dart	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
bolt	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
quarrel	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
fletch	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
flight	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
nock	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
horn	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
stinger	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
quill	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
goad	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
branch	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0
spire	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
song	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0
call	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
cry	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
spell	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
chant	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
weaver	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
gnarl	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
visage	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
crest	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
circlet	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
veil	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hood	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mask	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
brow	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
casque	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
visor	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cowl	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hide	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pelt	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
carapace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
coat	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wrap	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
suit	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cloak	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
shroud	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jack	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mantle	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guard	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
badge	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rock	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aegis	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ward	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tower	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
shield	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wing	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mark	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
emblem	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hand	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
fist	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
claw	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
clutches	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
grip	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
grasp	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
hold	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
touch	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
finger	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
knuckle	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
shank	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
spur	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
tread	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
stalker	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
greave	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
blazer	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
nails	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
trample	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Brogues	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
track	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
slippers	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
clasp	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1
buckle	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1
harness	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1
lock	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1
fringe	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1
winding	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1
chain	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1
strap	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1
lash	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1
cord	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1
knot	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
circle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
loop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
eye	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
turn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
spiral	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
coil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
gyre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
band	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
whorl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
talisman	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
heart	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
noose	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
necklace	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
collar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
beads	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
torc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
gorget	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
