TreasureClass	Beta	NumCodes	Code1	Code2	Code3	Code4	Code5	Code6	Code7	Code8	Code9	Code10	Code11	Code12	Code13	Code14	Code15	Code16	Code17	Code18	Code19	Code20	Code21	Code22	Code23	Code24	Code25	Code26	Code27	Code28	Code29	Code30	Comment
Null	1	0																															x
Gold	1	1	gld																														x
Jewelry	1	12	rin	amu	rvs	ibk	key	hp3	mp3	hp1	hp2	mp1	mp2	tbk																			x
Clothes	1	6	cap	qui	qui	lea	hla	stu																									x
ArmorA	1	16	qui	lea	hla	stu	rng	scl	chn	aar	brs	spl	aar	ltp	fld	plt	gth	ful															x
ArmorB	1	16	qui	lea	hla	stu	rng	scl	chn	aar	brs	spl	aar	ltp	fld	plt	gth	ful															x
ArmorC	1	16	qui	lea	hla	stu	rng	scl	chn	aar	brs	spl	aar	ltp	fld	plt	gth	ful															x
ArmorD	1	16	qui	lea	hla	stu	rng	scl	chn	aar	brs	spl	aar	ltp	fld	plt	gth	ful															x
HatsA	1	7	cap	skp	hlm	fhl	ghm	crn	msk																								x
HatsB	1	7	cap	skp	hlm	fhl	ghm	crn	msk																								x
ShieldsA	1	6	buc	sml	lrg	kit	tow	gts																									x
ShieldsB	1	6	buc	sml	lrg	kit	tow	gts																									x
AccessoriesA	1	11	lgl	lbt	lbl	mgl	mbt	mbl	vgl	vbt	vbl	tsc	isc																				x
AccessoriesB	1	11	lgl	lbt	lbl	mgl	mbt	mbl	vgl	vbt	vbl	tsc	isc																				x
AccessoriesC	1	11	lgl	lbt	lbl	mgl	mbt	mbl	vgl	vbt	vbl	tsc	isc																				x
Junk	1	6	rvs	ibk	key	hp5	mp5	tbk																									x
Potion	1	4	hp1	hp2	mp1	mp2																											x
SmallBlunt	1	7	clb	spc	fla	mac	mst	mau	whm																								x
LargeBlunt	1	7	clb	spc	fla	mac	mst	mau	whm																								x
SmallStab	1	11	dgr	dir	bld	tkf	pil	jav	glv	spr	tri	pik	brn																				x
MIddleStab	1	11	dgr	dir	bld	tkf	pil	jav	glv	spr	tri	pik	brn																				x
LargeStab	1	11	dgr	dir	bld	tkf	pil	jav	glv	spr	tri	pik	brn																				x
SmallSword	1	10	ssd	scm	sbr	flc	lsd	bsd	bsw	clm	2hs	gsd																					x
MiddleSword	1	10	ssd	scm	sbr	flc	lsd	bsd	bsw	clm	2hs	gsd																					x
LargeSword	1	10	ssd	scm	sbr	flc	lsd	bsd	bsw	clm	2hs	gsd																					x
SmallChop	1	10	tax	hax	axe	lax	bax	btx	bar	gax	pax	hal																					x
MiddleChop	1	10	tax	hax	axe	lax	bax	btx	bar	gax	pax	hal																					x
LargeChop	1	10	tax	hax	axe	lax	bax	btx	bar	gax	pax	hal																					x
SmallStave	1	7	wnd	scp	sst	lst	cst	bst	wst																								x
LargeStave	1	7	wnd	scp	sst	lst	cst	bst	wst																								x
SmallBow	1	8	sbw	hbw	lbw	cbw	sbb	lbb	swb	lwb																							x
LargeBow	1	8	sbw	hbw	lbw	cbw	sbb	lbb	swb	lwb																							x
SmallXBow	1	4	rxb	lxb	mxb	hxb																											x
LargeXBow	1	4	rxb	lxb	mxb	hxb																											x
Book	1	6	rvs	ibk	key	hp5	mp5	tbk																									x
Arrows	1	2	aqv	cqv																													x
Magic Weapons (Act 1)	1	22	hax	axe	lax	wnd	clb	scp	spc	mac	ssd	scm	sbr	2hs	dgr	dir	spr	tri	bar	sst	sbw	hbw	lbw	lxb									x
Magic Armor (Act 1)	1	16	cap	skp	hlm	qui	lea	hla	stu	buc	sml	lrg	lgl	vgl	lbt	vbt	lbl	vbl															x
Magic Misc (Act 1)	1	12	rin	amu	rvs	ibk	key	hp3	mp3	hp1	hp2	mp1	mp2	tbk																			x
Magic Weapons (Act 2)	1	24	2ax	bax	btx	ywn	mst	flc	crs	bsd	2hs	clm	dir	kri	tax	bkf	pil	ssp	tri	brn	vou	scy	lst	cbw	sbb	mxb							x
Magic Armor (Act 2)	1	19	hlm	fhl	msk	stu	rng	scl	chn	brs	spl	lrg	kit	vgl	mgl	vbt	mbt	vbl	mbl	bsh	spk												x
Magic Misc (Act 2)	1	10	rin	amu	rvs	ibk	key	hp4	mp4	tbk	crs	rvs																					x
Magic Weapons (Act 3)	1	10	flc	fla	clm	sbb	bst	bax	mxb	gax	whm	2hs																					x
Magic Armor (Act 3)	1	10	fhl	msk	chn	brs	spl	kit	hgl	hbt	hbl	plt																					x
Magic Misc (Act 3)	1	10	rin	amu	rvl	ibk	key	hp5	mp5	hp4	mp4	tbk																					x
Magic Weapons (Act 4)	1	10	fla	2hs	gsd	pik	lbb	lwb	wst	mau	rxb	hal																					x
Magic Armor (Act 4)	1	10	ghm	crn	fld	ful	gts	tow	hgl	hbt	hbl	ltp																					x
Magic Misc (Act 4)	1	6	rin	amu	rvl	key	hp5	mp5																									x
Chests-act1A	1	30	gld	gld	gld	gld	gld	gld	gld	gld	opl	aqv	aqv	hp1	hp2	hp1	vps	mp1	isc	tsc	cap	lbl	buc	qui	qui	sbw	clb	ssd	hax	tkf	dgr	gld	x
Chests-act1B	1	30	gld	gld	gld	gld	gld	gld	gld	lxb	gpl	aqv	bqv	hp1	hp2	hp1	vps	mp1	isc	tsc	skp	lgl	sml	lea	hla	hbw	spc	scm	spr	jav	lax	sbr	x
Chests-act1C	1	30	gld	gld	gld	gld	gld	gld	gld	gld	opl	aqv	bqv	hp2	hp3	hp1	vps	mp2	isc	tsc	skp	lbt	lrg	stu	tri	lbw	mac	flc	bar	2hs	axe	pil	x
Chests-act2A	1	29	gld	gld	gld	gld	gld	gld	gld	scm	opm	aqv	bqv	hp2	hp3	hp2	rvs	mp2	isc	tsc	hlm	mbl	lrg	rvs	cbw	vou	2ax	mst	flc	tax	pil		x
