npc	buy mult	sell mult	rep mult	questflag A	questbuymult A	questsellmult A	questrepmult A	questflag B	questbuymult B	questsellmult B	questrepmult B	questflag C	questbuymult C	questsellmult C	questrepmult C	max buy	max buy (N)	max buy (H)
gheed	512	1088	128	4	1024	922	1024									5000	30000	35000
charsi	512	960	128	4	1024	922	1024									5000	30000	35000
akara	512	1024	128	4	1024	922	1024									5000	30000	35000
lysander	512	1024	128	9	1024	922	1024									10000	30000	35000
drognan	512	1024	128	9	1024	922	1024									10000	30000	35000
elzix	512	1024	128	9	1024	922	1024									10000	30000	35000
fara	512	1024	128	9	1024	922	1024									10000	30000	35000
hratli	512	1024	128	17	1024	922	1024									15000	30000	35000
alkor	512	1024	128	17	1024	922	1024									15000	30000	35000
ormus	512	1024	128	17	1024	922	1024									15000	30000	35000
asheara	512	1024	128	17	1024	922	1024									15000	30000	35000
jamella	512	1024	128	41	1024	922	1024									20000	30000	35000
halbu	512	1024	128	41	1024	922	1024									20000	30000	35000
malah	512	2048	128	41	1024	922	1024	35	1024	512	1024					25000	30000	35000
drehya	512	2048	128	41	1024	922	1024	35	1024	512	1024					25000	30000	35000
larzuk	512	2048	128	41	1024	922	1024	35	1024	512	1024					25000	30000	35000
nihlathak	512	2048	128	41	1024	922	1024	35	1024	512	1024					25000	30000	35000
