GroupName	Offset	ID0	DENSITY0	PROB0	ID1	DENSITY1	PROB1	ID2	DENSITY2	PROB2	ID3	DENSITY3	PROB3	ID4	DENSITY4	PROB4	ID5	DENSITY5	PROB5	ID6	DENSITY6	PROB6	ID7	DENSITY7	PROB7	SHRINES	WELLS
Not Used	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rogues for act1( including staked rogues)	1	54	30	25	55	30	25	56	30	25	57	30	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wells for forest	2	130	0	75	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Indoor Chests	3	5	48	50	6	48	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rogues for act1 w/o staked rogues	4	54	30	37	55	30	37	56	30	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sewer shrines	5	279	0	25	280	0	25	281	0	25	282	0	25	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Cave Wells	6	138	0	25	275	0	25	276	0	25	277	0	25	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Crypt caskets	7	3	125	75	28	125	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crypt shrines	8	77	0	50	165	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Crypt Chests	9	5	48	20	6	48	20	240	30	20	241	30	20	242	30	20	0	0	0	0	0	0	0	0	0	0	0
Crypt Barrels	10	7	64	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Forgotten Tower caskets	11	3	125	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Forgotten Tower Shrines	12	77	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Forgotten Tower Barrels	13	7	64	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Indoor Shrine Act1 Set1	14	77	0	25	84	0	25	165	0	25	260	0	25	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Indoor Barrels	15	7	64	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caskets Catacombs	16	79	80	33	53	80	33	1	80	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Indoor Well Act1 Set1	17	132	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Desert Outdoor Shrines Set1	18	86	0	12	134	0	12	135	0	12	136	0	12	150	0	13	151	0	13	172	0	13	173	0	13	1	0
Desert Tomb Shrines	19	85	0	20	166	0	20	150	0	20	151	0	20	322	0	20	0	0	0	0	0	0	0	0	0	1	1
not used	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
not used	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Desert Indoor Shrines Set3	22	116	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Desert Outdoor Shrines Set3	23	86	0	34	85	0	34	166	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Desert Chests	24	87	30	20	88	30	20	148	30	20	146	30	20	147	30	20	0	0	0	0	0	0	0	0	0	0	0
maggot lair shrines	25	301	0	50	302	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
act 2 sewers	26	244	30	25	246	30	25	225	30	25	283	30	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desert Obelisk	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Obelisk Act1	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desert Urns	29	4	120	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desert Wells	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Jungle Wells	31	130	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dead Guards	32	154	30	50	270	30	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
outsideforestobj1	33	139	30	25	140	30	50	144	30	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
outsideforestobj2	34	141	30	50	139	30	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sand maggot lair	35	266	30	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
desertobjects2	36	178	30	50	171	30	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
desertobjects3	37	142	30	33	143	30	33	4	30	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
outside forest object 3	38	155	30	34	174	30	33	175	30	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
not used	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
act 3 jungle clickables #1	40	181	30	20	183	30	20	185	30	20	186	30	20	187	30	20	0	0	0	0	0	0	0	0	0	0	0
not used	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
act 3 jungle clickables #2	42	188	30	20	187	30	20	186	30	20	208	30	20	272	30	20	0	0	0	0	0	0	0	0	0	0	0
jungle shrines	43	184	0	16	190	0	16	191	0	16	197	0	16	168	0	16	170	0	20	0	0	0	0	0	0	1	0
tristram objects	44	239	30	50	245	30	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
really rare objects in act1 act3	45	250	30	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
outer hell shrines	46	226	0	20	231	0	20	232	0	20	236	0	20	249	0	20	0	0	0	0	0	0	0	0	0	1	0
outer hell objects	47	222	30	16	225	30	16	233	0	16	363	30	16	372	30	16	380	30	20	0	0	0	0	0	0	0	0
inner hell objects	48	125	30	20	126	30	20	127	30	20	128	30	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
inner hell shrines	49	93	0	20	96	0	20	97	0	20	123	0	20	124	0	20	0	0	0	0	0	0	0	0	0	1	0
act1 cathedral shrines	50	262	0	12	260	0	12	263	0	12	264	0	12	265	0	12	165	0	12	77	0	12	132	0	14	1	1
act1 jail shrines	51	263	0	12	260	0	12	263	0	12	264	0	12	265	0	12	165	0	12	77	0	12	132	0	14	1	1
jungle indoor clickables	52	188	30	20	187	30	20	186	30	20	208	30	20	271	30	20	0	0	0	0	0	0	0	0	0	0	0
arcane sanctuary clickables	53	387	30	20	388	30	20	389	30	20	390	30	20	391	30	20	0	0	0	0	0	0	0	0	0	0	0
not used	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Harem Clickables	55	4	30	20	176	30	20	154	30	10	270	30	10	314	30	10	315	30	10	316	30	10	317	30	10	0	0
Harem Shrines	56	109	0	25	167	0	25	299	0	25	300	0	25	0	0	0	0	0	0	0	0	0	0	0	0	1	0
