Template	Name	Level	Act	Class	str	dex	int	vit	tot	LifePerLevel	ManaPerLevel	LifePerVitality	ManaPerMagic	Hitpoints	Mana	ManaRegenBonus	Velocity	AttackRate	OtherRate	RightSkill	Total Skills	SkillName	Skill1	SkillLevel1	SkillName	Skill2	SkillLevel2	SkillName	Skill3	SkillLevel3	SkillName	Skill4	SkillLevel4	SkillName	Skill5	SkillLevel5	SkillName	Skill6	SkillLevel6	SkillName	Skill7	SkillLevel7	SkillName	Skill8	SkillLevel8	SkillName	Skill9	SkillLevel9	baseWClass	item1	item1loc	item1count	item2	item2loc	item2count	item3	item3loc	item3count	item4	item4loc	item4count	item5	item5loc	item5count	item6	item6loc	item6count	item7	item7loc	item7count	item8	item8loc	item8count	item9	item9loc	item9count	item10	item10loc	item10count	item11	item11loc	item11count	item12	item12loc	item12count	item13	item13loc	item13count	item14	item14loc	item14count	item15	item15loc	item15count
Amazon Bow	Unwritten	3		ama	22	32	19	22	95	18	3	5	4	36	21	0	100	100	100	0	3	Fire Arrow	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hth	sbw	4	1	aqv	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amazon Spear	Unwritten	3		ama	27	28	15	25	95	18	3	5	4	40	17	0	100	100	100	0	3	Jab	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hth	spr	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amazon Javelin	Unwritten	3		ama	23	32	17	23	95	18	3	5	4	37	19	0	100	100	100	0	3	Jab	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hth	jav	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sorceress Fire	Unwritten	3		sor	10	30	40	15	95	12	8	4	8	24	56	0	100	100	100	0	4	Firebolt	36	3	Warmth	37	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hth	sst	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sorceress Cold	Unwritten	3		sor	10	30	40	15	95	12	8	4	8	24	56	0	100	100	100	0	4	Ice Bolt	39	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hth	sst	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sorceress Lightning	Unwritten	3		sor	10	30	40	15	95	12	8	4	8	24	56	0	100	100	100	0	4	Charged Bolt	38	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hth	sst	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Necromancer	Unwritten	3		nec	17	26	35	17	95	12	6	4	8	26	50	0	100	100	100	0	4	Teeth	67	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hth	dgr	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Necromancer	Unwritten	3		nec	17	26	35	17	95	12	6	4	8	26	50	0	100	100	100	0	4	Teeth	67	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hth	dgr	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Necromancer	Unwritten	3		nec	17	26	35	17	95	12	6	4	8	26	50	0	100	100	100	0	4	Teeth	67	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hth	dgr	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paladin fighter	Unwritten	3		pal	28	20	15	42	105	24	4	8	5	67	18	0	100	100	100	0	3	Sacrifice	96	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hth	scm	4	1	buc	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
