Name	Token	Beta
Not Used	NU0	0
Casket #5	C5	1
Outdoor Shrine	SF	1
Casket #6	C6	1
Urn #1	U1	0
Large Chest R	L1	1
Large Chest L	L2	1
Barrel	B1	1
Tower Tome	TT	1
Urn #2	U2	0
Bench	BE	1
Barrel Exploding	BX	1
Fountain	FN	1
Door Gate Left	D1	1
Door Gate Right	D2	1
Door Wooden Left	D3	1
Door Wooden Right	D4	1
Stone 1	S1	1
Stone 2	S2	1
Stone 3	S3	1
Stone 4	S4	1
Stone 5	S5	1
Stone 6	S6	1
Door Courtyard Left	D5	1
Door Courtyard Right	D6	1
Door Cathedral	D7	1
Gibbet	GI	1
Door Monastery	D8	1
Hole in Ground	HI	1
Brazier	BR	1
Inifuss Tree	IT	1
Blood Fountain	BF	1
Crucifix Large	CL	1
Candles 1	A1	1
Candles 2	A2	1
Standard 1	N1	1
Standard 2	N2	1
Tiki Torch	TO	1
Wall Torch	WT	1
Rogue Bonfire	RB	1
River 1	R1	1
River 2	R2	1
River 3	R3	1
River 4	R4	1
River 5	R5	1
Town 1 Ambient	SS	1
Crate	CT	1
Andariel Door	AD	1
Rogue Torch 1	T1	1
Rogue Torch 2	T2	1
Casket 1	C1	1
Casket 2	C2	1
Urn #3	U3	0
Casket Raised	C4	1
Rogue Corpse	Z1	1
Rogue Corpse	Z2	1
Rogue Rolling Corpse	Z5	1
Rogue Staked 1	Z3	1
Rogue Staked 2	Z4	1
Town Portal	TP	1
Portal Permanent	PP	1
Stone Sound	SS	1
Door Small Cathedral	D9	1
Door Small Cathedral	DA	1
Wooden Door	DB	1
River Sound Only 1	X1	1
River Sound Only 1	X2	1
Ripple 1	1R	1
Ripple 2	2R	1
Ripple 3	3R	1
Ripple 4	4R	1
Forest Night 1	F1	1
Forest Night 2	F2	1
Yeti Dung	YD	1
Trap Door	TD	0
Dock Door 	DD	0
Sewer Drip	SZ	1
ShrineHealth	SH	1
Town Ambient	SS	1
Casket 3	C3	1
Obelisk 1	OB	1
