name	armor	helm	shield	sword	axe	mace	spear	scepter	wand	staff	bow	boots	gloves	belt	ring	amulet	add	multiply	divide
Beast	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
Eagle	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
Raven	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
Viper	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
GhoulRI	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
Skull	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
Blood	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
Dread	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
Doom	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
Grim	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
Bone	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
Death	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
Shadow	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
Storm	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
Rune	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
PlagueRI	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
Stone	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
Wraith	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
Spirit	1	1	1	0	0	0	0	1	1	1		1	1	1	0	0	0	0	0
Storm	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
Demon	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
Cruel	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
Empyrion	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
Bramble	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
Pain	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
Loath	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
Glyph	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
Imp	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
Fiend	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
Hailstone	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
Gale	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
Dire	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
Soul	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
Brimstone	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
Corpse	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
Carrion	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
Holocaust	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Havoc	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
Bitter	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
Entropy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Chaos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Order	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rule	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Warp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rift	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corruption	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
