sequence	mode	frame	dir	event	eol
	NU	0			0
seq_pinheadsmite	A1	0			0
seq_pinheadsmite	A1	1			0
seq_pinheadsmite	A1	2			0
seq_pinheadsmite	A1	3			0
seq_pinheadsmite	A1	4			0
seq_pinheadsmite	A1	5			0
seq_pinheadsmite	A1	6			0
seq_pinheadsmite	A1	7			0
seq_pinheadsmite	A1	8		1	0
seq_pinheadsmite	A1	9			0
seq_pinheadsmite	A1	10			0
seq_pinheadsmite	A1	11			0
seq_pinheadsmite	A1	12			0
seq_pinheadsmite	A1	13			0
seq_pinheadsmite	A1	14			0
seq_serpentcharge	WL	0		1	0
seq_serpentcharge	WL	2		1	0
seq_serpentcharge	WL	4		1	0
seq_serpentcharge	WL	6		1	0
seq_serpentcharge	WL	8		1	0
seq_serpentcharge	WL	10		1	0
seq_serpentcharge	WL	12		1	0
seq_serpentcharge	WL	14		1	0
seq_serpentcharge	A2	3			0
seq_serpentcharge	A2	7		1	0
seq_serpentcharge	A2	8			0
seq_serpentcharge	A2	9			0
seq_serpentcharge	A2	10			0
seq_serpentcharge	A2	11			0
seq_summonerskill	S1	0			0
seq_summonerskill	S1	1			0
seq_summonerskill	S1	2			0
seq_summonerskill	S1	3			0
seq_summonerskill	S1	4			0
seq_summonerskill	S1	5			0
seq_summonerskill	S1	6			0
seq_summonerskill	S1	7		4	0
seq_firehit	A1	0			0
seq_firehit	A1	1			0
seq_firehit	A1	2			0
seq_firehit	A1	3			0
seq_firehit	A1	4			0
seq_firehit	A1	5		1	0
seq_firehit	A1	6			0
seq_firehit	A1	7			0
seq_firehit	A1	8			0
seq_firehit	A1	9			0
seq_scarabjab	A1	2			0
seq_scarabjab	A1	4			0
seq_scarabjab	A1	6			0
seq_scarabjab	A1	8		1	0
seq_scarabjab	A1	9			0
seq_scarabjab	A1	15			0
seq_scarabjab	A2	4			0
seq_scarabjab	A2	6			0
seq_scarabjab	A2	7			0
seq_scarabjab	A2	9		1	0
seq_scarabjab	A2	10			0
seq_scarabjab	A2	12			0
seq_scarabjab	A2	13			0
seq_mummyres	SC	0			0
seq_mummyres	SC	1			0
seq_mummyres	SC	2			0
seq_mummyres	SC	3			0
seq_mummyres	SC	4			0
seq_mummyres	SC	5			0
seq_mummyres	SC	6			0
seq_mummyres	SC	7			0
seq_mummyres	SC	8			0
seq_mummyres	SC	9			0
seq_mummyres	SC	10			0
seq_mummyres	SC	11			0
seq_mummyres	SC	12			0
seq_mummyres	SC	13		2	0
seq_mummyres	SC	14			0
seq_mummyres	SC	15			0
seq_vileres	S1	0			0
seq_vileres	S1	1			0
seq_vileres	S1	2			0
seq_vileres	S1	3			0
seq_vileres	S1	4			0
seq_vileres	S1	5			0
seq_vileres	S1	6			0
seq_vileres	S1	7			0
seq_vileres	S1	8			0
seq_vileres	S1	9			0
seq_vileres	S1	10		2	0
seq_vileres	S1	11			0
